Name,Address.Latitude,Address.Longitude,DBSCAN_labels_case1,DBSCAN_labels_case2,DBSCAN_labels_case3,DBSCAN_labels_case4
Oxford,33.608825,-85.783182,0,0,0,0
Opelika,32.618108,-85.410636,0,0,0,0
Carrollton,33.55892,-85.076473,0,0,0,0
Newnan,33.392907,-84.758875,0,0,0,0
Columbus,32.534649,-84.971073,0,0,0,0
Peachtree City,33.436865000000004,-84.59014599999999,0,0,0,0
Montgomery,32.360305,-86.16067,0,0,0,0
Douglasville,33.726106,-84.735376,0,0,0,0
Prattville,32.457557,-86.39550799999999,0,0,0,0
Birmingham 280 Corridor,33.42553,-86.711805,0,0,0,0
Fayetteville,33.481744,-84.43853100000001,0,0,0,0
Trussville,33.605259999999994,-86.63674300000001,0,0,0,0
Hiram,33.885814,-84.744219,0,0,0,0
Alabaster,33.224895000000004,-86.803977,0,0,0,0
East Point,33.659201,-84.499825,0,0,0,0
Homewood,33.467692,-86.774917,0,0,0,0
Austell,33.852078000000006,-84.602475,0,0,0,0
Hoover West,33.361598,-86.852559,0,0,0,0
West Marietta,33.944886,-84.626634,0,0,0,0
Fultondale,33.605595,-86.80623,0,0,0,0
Acworth,34.039709,-84.68378299999999,0,0,0,0
McDonough,33.46739,-84.216511,0,0,0,0
Atlanta Midtown,33.792608,-84.39993100000001,0,0,0,0
Smyrna,33.897945,-84.479481,0,0,0,0
Atlanta Edgewood,33.757275,-84.346626,0,0,0,0
Bessemer,33.334428,-86.990326,0,0,0,0
Cobb,34.009046999999995,-84.573229,0,0,0,0
Buckhead South,33.824116,-84.36314499999999,0,0,0,0
Cartersville,34.172491,-84.785638,0,0,0,0
Buckhead,33.851828000000005,-84.35882099999999,0,0,0,0
North Druid Hills,33.828247,-84.325478,0,0,0,0
Sandy Springs Prado,33.906136,-84.38014100000001,0,0,0,0
Marietta East,33.985,-84.42961,0,0,0,0
Woodstock,34.085767,-84.54593299999999,0,0,0,0
Cobb NE,34.035208000000004,-84.460926,0,0,0,0
Atlanta Perimeter,33.930503,-84.341325,0,0,0,0
Northlake,33.845117,-84.245988,0,0,0,0
Roswell,34.063846000000005,-84.398046,0,0,0,0
Peachtree Corners,33.951431,-84.232282,0,0,0,0
Conyers,33.633390000000006,-84.016216,0,0,0,0
Alpharetta,34.046252,-84.28699399999999,0,0,0,0
Canton,34.234596999999994,-84.456684,0,0,0,0
Riverwood,34.014619,-84.188354,0,0,0,0
Milton,34.099447,-84.269227,0,0,0,0
Snellville,33.874854,-84.01596500000001,0,0,0,0
John's Creek,34.097081,-84.173188,0,0,0,0
Lawrenceville,33.970133000000004,-84.014927,0,0,0,0
Cumming,34.1857,-84.134116,0,0,0,0
Buford,34.070031,-83.98182,0,0,0,0
Tuscaloosa,33.193104,-87.518672,0,0,0,0
Warner Robins,32.616594,-83.686391,0,0,0,0
Winder,33.942788,-83.752011,0,0,0,0
Flowery Branch,34.178722,-83.911284,0,0,0,0
Huntsville South,34.673497999999995,-86.54163199999999,0,0,0,0
Decatur,34.559064,-86.97103,0,0,0,0
Gainesville,34.290556,-83.846503,0,0,0,0
Dothan,31.266492,-85.44680799999999,0,0,0,0
Huntsville West,34.741637,-86.681523,0,0,0,0
Albany,31.621335,-84.224654,0,0,0,0
Madison,34.749313,-86.755874,0,0,0,0
Chattanooga East,35.024344,-85.156006,0,0,0,0
Athens,33.941502,-83.44039000000001,0,0,0,0
Chattanooga North,35.14642,-85.251508,0,0,0,0
Cleveland,35.217441,-84.866113,0,0,0,0
Florence,34.84213,-87.634764,0,0,0,0
Anderson,34.54954,-82.679501,0,0,0,0
Tallahassee North,30.561288,-84.21554,0,0,0,0
Murfreesboro,35.843921,-86.426292,0,0,0,0
Destin,30.390741,-86.480935,0,0,0,0
Pace,30.601174,-87.126274,0,0,0,0
